hour,sentiment,tweets,topics,sampleTweets,hashtags
Thu Jul 02 06:00:03 UTC 2015,false,526,null,null,null
Thu Jul 02 06:00:03 UTC 2015,true,584,null,null,null
Thu Jul 02 07:00:03 UTC 2015,false,761,null,null,null
Thu Jul 02 07:00:03 UTC 2015,true,688,null,null,null
Thu Jul 02 08:00:03 UTC 2015,false,969,null,null,null
Thu Jul 02 08:00:03 UTC 2015,true,989,null,null,null
Thu Jul 02 09:00:03 UTC 2015,false,983,"pti,pakistan,khan,imran,rafique,saad,struggle,punctures,puncture,hamid",RT @_Mans00r: Trying to locate my younger brother (A PTI follower). He has been hiding since the '35 puncture' scandal collapsed :)|RT @KPKUpdates: Security reviewed for Local Government re-polling  @htakpk @LocalGovtKP #KPPolice #KPKUpdates   http://t.co/zrFLUpDr1d|#WeStandWithNaeemUlHaq insafians u shudn't try to defame @naeemul_haque for the sake of PTI,"pti,عمران_بچائے_گا_پاکستان,westandwithnaeemulhaq,sacknaeemulhaque,wedemandreelections,ik,noonfailsecpderails,pakistan,breaking,gujranwala"
Thu Jul 02 09:00:03 UTC 2015,true,1679,"pti,khan,pakistan,leader,trend,imran,plastics,punctures,trust,party","RT @kashifviews: Unlike most trends, #SackNaeemulHaque is not funded by anyone, it is fueled by a passion for PTI.|Zero credibility, zero political vision and Only liability for #PTI. This is Naeem ul Haq. #SackNaeemUlHaque|@ImranKhanPTI 16 arrested with arms, Bhatta money &amp; Zakat Fitra receipts  http://t.co/S8MWr9jDej #Azadimarchpti #Pakistan","عمران_بچائے_گا_پاکستان,pti,wedemandreelections,westandwithnaeemulhaq,noonfailsecpderails,ik,sacknaeemulhaque,imrankhan,nayapakistan,pakistan"
Thu Jul 02 10:00:03 UTC 2015,false,713,null,null,null
Thu Jul 02 10:00:03 UTC 2015,true,1035,null,null,null
Thu Jul 02 11:00:03 UTC 2015,false,808,null,null,null
Thu Jul 02 11:00:03 UTC 2015,true,758,null,null,null
Thu Jul 02 12:00:03 UTC 2015,false,623,null,null,null
Thu Jul 02 12:00:03 UTC 2015,true,711,null,null,null
Thu Jul 02 13:00:03 UTC 2015,false,901,null,null,null
Thu Jul 02 13:00:03 UTC 2015,true,1256,null,null,null
Thu Jul 02 14:00:03 UTC 2015,false,490,null,null,null
Thu Jul 02 14:00:03 UTC 2015,true,552,null,null,null
Thu Jul 02 15:00:03 UTC 2015,false,1080,null,null,null
Thu Jul 02 15:00:03 UTC 2015,true,687,null,null,null
Thu Jul 02 16:00:03 UTC 2015,false,864,null,null,null
Thu Jul 02 16:00:03 UTC 2015,true,867,null,null,null
Thu Jul 02 17:00:03 UTC 2015,false,949,null,null,null
Thu Jul 02 17:00:03 UTC 2015,true,798,null,null,null
Thu Jul 02 18:00:03 UTC 2015,false,708,null,null,null
Thu Jul 02 18:00:03 UTC 2015,true,616,null,null,null
Thu Jul 02 19:00:03 UTC 2015,false,676,null,null,null
Thu Jul 02 19:00:03 UTC 2015,true,464,null,null,null
Thu Jul 02 20:00:03 UTC 2015,false,420,null,null,null
Thu Jul 02 20:00:03 UTC 2015,true,587,null,null,null
Thu Jul 02 21:00:03 UTC 2015,false,580,null,null,null
Thu Jul 02 21:00:03 UTC 2015,true,574,null,null,null
Thu Jul 02 22:00:03 UTC 2015,false,516,null,null,null
Thu Jul 02 22:00:03 UTC 2015,true,323,null,null,null
Thu Jul 02 23:00:03 UTC 2015,false,325,null,null,null
Thu Jul 02 23:00:03 UTC 2015,true,292,null,null,null
Fri Jul 03 00:00:03 UTC 2015,false,254,null,null,null
Fri Jul 03 00:00:03 UTC 2015,true,249,null,null,null
Fri Jul 03 01:00:03 UTC 2015,false,416,null,null,null
Fri Jul 03 01:00:03 UTC 2015,true,357,null,null,null
Fri Jul 03 02:00:03 UTC 2015,false,170,null,null,null
Fri Jul 03 02:00:03 UTC 2015,true,203,null,null,null
Fri Jul 03 03:00:03 UTC 2015,false,220,null,null,null
Fri Jul 03 03:00:03 UTC 2015,true,224,null,null,null
Fri Jul 03 04:00:03 UTC 2015,false,309,null,null,null
Fri Jul 03 04:00:03 UTC 2015,true,236,null,null,null
Fri Jul 03 05:00:03 UTC 2015,false,367,null,null,null
Fri Jul 03 05:00:03 UTC 2015,true,232,null,null,null
Fri Jul 03 06:00:03 UTC 2015,false,399,null,null,null
Fri Jul 03 06:00:03 UTC 2015,true,307,null,null,null
Fri Jul 03 07:00:03 UTC 2015,false,313,null,null,null
Fri Jul 03 07:00:03 UTC 2015,true,426,null,null,null
Fri Jul 03 08:00:03 UTC 2015,false,349,null,null,null
Fri Jul 03 08:00:03 UTC 2015,true,344,null,null,null
Fri Jul 03 09:00:03 UTC 2015,false,722,null,null,null
Fri Jul 03 09:00:03 UTC 2015,true,595,null,null,null
Fri Jul 03 10:00:03 UTC 2015,false,765,null,null,null
Fri Jul 03 10:00:03 UTC 2015,true,783,null,null,null
Fri Jul 03 11:00:03 UTC 2015,false,732,null,null,null
Fri Jul 03 11:00:03 UTC 2015,true,656,null,null,null
Fri Jul 03 12:00:03 UTC 2015,false,608,null,null,null
Fri Jul 03 12:00:03 UTC 2015,true,614,null,null,null
Fri Jul 03 13:00:03 UTC 2015,false,427,null,null,null
Fri Jul 03 13:00:03 UTC 2015,true,421,null,null,null
Fri Jul 03 14:00:03 UTC 2015,false,497,null,null,null
Fri Jul 03 14:00:03 UTC 2015,true,386,null,null,null
Fri Jul 03 15:00:03 UTC 2015,false,851,null,null,null
Fri Jul 03 15:00:03 UTC 2015,true,876,null,null,null
Fri Jul 03 16:00:03 UTC 2015,false,708,null,null,null
Fri Jul 03 16:00:03 UTC 2015,true,625,null,null,null
Fri Jul 03 17:00:03 UTC 2015,false,1249,"pti,rafique,saad,rabbani,hina,khar,make,shame,pakistan,joining",@najamsethi pti has punctured after this hilarious saga. :)|@AnjumIqbalPTI @ImranKhanPTI oviouisly imran khan|RT @ImranKhanPTI: MQM's only redemption lies in suing BBC for what are treason charges. MQM has sued me &amp; other PTI ldrs plus media ppl on …,"قاتل_خواجہ_استعفی_دو,pti,banigala,pakistan,ik,pmln,قاتل,kpk,tazatareenkhabar,ppp"
Fri Jul 03 17:00:03 UTC 2015,true,666,null,null,null
Fri Jul 03 18:00:03 UTC 2015,false,1104,null,null,null
Fri Jul 03 18:00:03 UTC 2015,true,654,null,null,null
Fri Jul 03 19:00:03 UTC 2015,false,660,null,null,null
Fri Jul 03 19:00:03 UTC 2015,true,440,null,null,null
Fri Jul 03 20:00:03 UTC 2015,false,743,null,null,null
Fri Jul 03 20:00:03 UTC 2015,true,508,null,null,null
Fri Jul 03 21:00:03 UTC 2015,false,647,null,null,null
Fri Jul 03 21:00:03 UTC 2015,true,449,null,null,null
Fri Jul 03 22:00:03 UTC 2015,false,436,null,null,null
Fri Jul 03 22:00:03 UTC 2015,true,428,null,null,null
Fri Jul 03 23:00:03 UTC 2015,false,319,null,null,null
Fri Jul 03 23:00:03 UTC 2015,true,295,null,null,null
Sat Jul 04 00:00:03 UTC 2015,false,312,null,null,null
Sat Jul 04 00:00:03 UTC 2015,true,265,null,null,null
Sat Jul 04 01:00:03 UTC 2015,false,239,null,null,null
Sat Jul 04 01:00:03 UTC 2015,true,159,null,null,null
Sat Jul 04 02:00:03 UTC 2015,false,220,null,null,null
Sat Jul 04 02:00:03 UTC 2015,true,166,null,null,null
Sat Jul 04 03:00:03 UTC 2015,false,197,null,null,null
Sat Jul 04 03:00:03 UTC 2015,true,385,null,null,null
Sat Jul 04 04:00:03 UTC 2015,false,203,null,null,null
Sat Jul 04 04:00:03 UTC 2015,true,199,null,null,null
Sat Jul 04 05:00:03 UTC 2015,false,182,null,null,null
Sat Jul 04 05:00:03 UTC 2015,true,180,null,null,null
Sat Jul 04 06:00:03 UTC 2015,false,316,null,null,null
Sat Jul 04 06:00:03 UTC 2015,true,358,null,null,null
Sat Jul 04 07:00:03 UTC 2015,false,289,null,null,null
Sat Jul 04 07:00:03 UTC 2015,true,424,null,null,null
Sat Jul 04 08:00:03 UTC 2015,false,407,null,null,null
Sat Jul 04 08:00:03 UTC 2015,true,510,null,null,null
Sat Jul 04 09:00:03 UTC 2015,false,655,null,null,null
Sat Jul 04 09:00:03 UTC 2015,true,825,null,null,null
Sat Jul 04 10:00:03 UTC 2015,false,683,"pti,electricity,kpk,khan,ayaz,lawyer,failed,counter,power,evidence",Hina Rabani Khar likely to Join PTI. http://t.co/UGJkqRxcIv|RT @rassad7: Asma Jhangir branded #IK as taliban khan yet herself appeared to be Terrorists Apologist   #WhyAdliaSupportingTerror http://t.…|RT @PTI_tsunami: PTI's Fayyaz ul Chohan is a prime exponent of this art.  http://t.co/4rfzfnaItA,"pti,shutupayazmunafiq,kpgreenenergy,پٹواری_لیگ_کے_دن_ختم,ik,karachi,kpk,pakistan,pmln,ppp"
Sat Jul 04 10:00:03 UTC 2015,true,1040,"pti,khan,project,chairman,hydel,power,kpk,http,koto,pakistan","@Hafffsa if u sopport PTI dan for heavens stop trolling Reham Khan by teaming vid Pro PPP idiots... thnx|RT @MurtazaGeoNews: #PTI leader n spokesperson Naeem-ul-Haque further punctures #35Punctures lie -  admits on @TalatHussain12 show #PTI has…|@omar_quraishi ""PTI single largest party of country, claims Qureshi"" (DAWN). Another political statement?","kpgreenenergy,shutupayazmunafiq,پٹواری_لیگ_کے_دن_ختم,pti,gonawazgo,sackccpoinabdullahtragedy,kpk,na122,pakistan,jc"
Sat Jul 04 11:00:03 UTC 2015,false,570,null,null,null
Sat Jul 04 11:00:03 UTC 2015,true,842,null,null,null
Sat Jul 04 12:00:03 UTC 2015,false,395,null,null,null
Sat Jul 04 12:00:03 UTC 2015,true,537,null,null,null
Sat Jul 04 13:00:03 UTC 2015,false,480,null,null,null
